------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Blade aerodynamic parameters (L of the blade!!! not the R; R=89.166, Rint=2.8m L=(89.166-2.8)=86.366m)
======  Blade Properties =================================================================
         40   NumBlNds           - Number of blade nodes used in the analysis (-)
  BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
   (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
0.0000000	0.3368312	1.3021586	0.0000000	14.5000000	5.3800000	1
2.6430176	0.3262435	1.3022158	0.0000000	14.5000000	5.3802898	2
5.3797698	0.3132911	1.3020772	0.0000000	14.5000000	5.3799605	3
8.2027383	0.2925558	1.2871887	0.0000000	14.4320088	5.4524800	4
11.1031430	0.2423007	1.2111585	0.0000000	13.8888157	5.6354406	5
14.0710210	0.1626902	1.0886439	0.0000000	12.5459743	5.8660043	6
17.0953357	0.0745328	0.9673746	0.0000000	10.6086877	6.0706543	7
20.1641225	-0.0046247	0.8599089	0.0000000	8.8924523	6.1845112	8
23.2646653	-0.0721802	0.7710687	0.0000000	7.8018023	6.2030088	9
26.3836994	-0.1371068	0.6995531	0.0000000	7.0241624	6.1428800	10
29.5076383	-0.2041484	0.6437029	0.0000000	6.3821978	6.0199624	11
32.6227943	-0.2762397	0.5987854	0.0000000	5.7768570	5.8490685	12
35.7156384	-0.3541555	0.5623591	0.0000000	5.2275022	5.6453233	13
38.7730197	-0.4384770	0.5402953	0.0000000	4.6735758	5.4218912	14
41.7823887	-0.5309100	0.5173145	0.0000000	4.0885964	5.1858294	15
44.7319957	-0.6310280	0.4933424	0.0000000	3.4877551	4.9428274	16
47.6110617	-0.7381945	0.4692362	0.0000000	2.8865524	4.6982195	17
50.4099164	-0.8517024	0.4453150	0.0000000	2.2990792	4.4567750	17
53.1201011	-0.9707596	0.4220764	0.0000000	1.7361749	4.2226912	18
55.7344352	-1.0945042	0.3997789	0.0000000	1.2071898	3.9986797	18
58.2470477	-1.2220504	0.3785783	0.0000000	0.7187035	3.7860806	18
60.6533643	-1.3524813	0.3585666	0.0000000	0.2730763	3.5857065	18
62.9500952	-1.4847848	0.3398086	0.0000000	-0.1303796	3.3980945	18
65.1351584	-1.6179836	0.3223370	0.0000000	-0.4932788	3.2234897	18
67.2075977	-1.7512193	0.3061586	0.0000000	-0.8195652	3.0618997	18
69.1674921	-1.8836604	0.2912490	0.0000000	-1.1139248	2.9130401	18
71.0158535	-2.0144550	0.2775471	0.0000000	-1.3827044	2.7762792	18
72.7545098	-2.1427913	0.2649621	0.0000000	-1.6310908	2.6506950	18
74.3859743	-2.2680937	0.2534608	0.0000000	-1.8619588	2.5359473	18
75.9133469	-2.3898322	0.2429173	0.0000000	-2.0776268	2.4307714	18
77.3402166	-2.5073618	0.2329586	0.0000000	-2.2800794	2.3314318	18
78.6705231	-2.6203517	0.2230343	0.0000000	-2.4689967	2.2324158	18
79.9084849	-2.7285200	0.2126802	0.0000000	-2.6440841	2.1290689	18
81.0585215	-2.8315305	0.2016680	0.0000000	-2.8029648	2.0190956	18
82.1251565	-2.9292606	0.1900809	0.0000000	-2.9450707	1.9033225	18
83.1129575	-3.0216579	0.1773559	0.0000000	-3.0700851	1.7761077	18
84.0264859	-3.1086549	0.1623512	0.0000000	-3.1773290	1.6260119	18
84.8702529	-3.1901688	0.1437773	0.0000000	-3.2709560	1.4401192	18
85.6486629	-3.2661394	0.1181567	0.0000000	-3.3575265	1.1835990	18
86.3660000	-3.3350976	0.0598926	0.0000000	-3.4280000	0.6000000	18
